,Date,Close
0,2023-01-02,93.0
1,2023-01-03,95.0
2,2023-01-04,96.0
3,2023-01-05,92.0
4,2023-01-06,95.0
5,2023-01-09,93.0
6,2023-01-10,95.0
7,2023-01-11,94.0
8,2023-01-12,97.0
9,2023-01-13,105.0
10,2023-01-16,107.0
11,2023-01-17,114.0
12,2023-01-18,114.0
13,2023-01-19,115.0
14,2023-01-20,114.0
15,2023-01-24,119.0
16,2023-01-25,117.0
17,2023-01-26,115.0
18,2023-01-27,117.0
19,2023-01-30,113.0
20,2023-01-31,112.0
21,2023-02-01,113.0
22,2023-02-02,124.0
23,2023-02-03,124.0
24,2023-02-06,120.0
25,2023-02-07,123.0
26,2023-02-08,120.0
27,2023-02-09,112.0
28,2023-02-10,105.0
29,2023-02-13,116.0
30,2023-02-14,119.0
31,2023-02-15,118.0
32,2023-02-16,121.0
33,2023-02-17,125.0
34,2023-02-20,122.0
35,2023-02-21,121.0
36,2023-02-22,116.0
37,2023-02-23,116.0
38,2023-02-24,120.0
39,2023-02-27,118.0
40,2023-02-28,118.0
41,2023-03-01,122.0
42,2023-03-02,121.0
43,2023-03-03,124.0
44,2023-03-06,128.0
45,2023-03-07,129.0
46,2023-03-08,130.0
47,2023-03-09,129.0
48,2023-03-10,125.0
49,2023-03-13,126.0
50,2023-03-14,121.0
51,2023-03-15,121.0
52,2023-03-16,117.0
53,2023-03-17,116.0
54,2023-03-20,108.0
55,2023-03-21,110.0
56,2023-03-24,115.0
57,2023-03-27,115.0
58,2023-03-28,118.0
59,2023-03-29,116.0
60,2023-03-30,112.0
61,2023-03-31,109.0
62,2023-04-03,110.0
63,2023-04-04,110.0
64,2023-04-05,107.0
65,2023-04-06,101.0
66,2023-04-10,94.0
67,2023-04-11,99.0
68,2023-04-12,93.0
69,2023-04-13,91.0
70,2023-04-14,92.0
71,2023-04-17,92.0
72,2023-04-18,95.0
73,2023-04-26,95.0
74,2023-04-27,99.0
75,2023-04-28,104.0
76,2023-05-02,103.0
77,2023-05-03,100.0
78,2023-05-04,109.0
79,2023-05-05,106.0
80,2023-05-08,106.0
81,2023-05-09,109.0
82,2023-05-10,118.0
83,2023-05-11,116.0
84,2023-05-12,116.0
85,2023-05-15,117.0
86,2023-05-16,118.0
87,2023-05-17,113.0
88,2023-05-19,115.0
89,2023-05-22,114.0
90,2023-05-23,115.0
91,2023-05-24,114.0
92,2023-05-25,111.0
93,2023-05-26,104.0
94,2023-05-29,108.0
95,2023-05-30,109.0
96,2023-05-31,147.0
97,2023-06-05,125.0
98,2023-06-06,119.0
99,2023-06-07,116.0
100,2023-06-08,125.0
101,2023-06-09,127.0
102,2023-06-12,124.0
103,2023-06-13,121.0
104,2023-06-14,116.0
105,2023-06-15,116.0
106,2023-06-16,117.0
107,2023-06-19,117.0
108,2023-06-20,118.0
109,2023-06-21,118.0
110,2023-06-22,115.0
111,2023-06-23,113.0
112,2023-06-26,114.0
113,2023-06-27,110.0
114,2023-07-03,112.0
115,2023-07-04,109.0
116,2023-07-05,109.0
117,2023-07-06,112.0
118,2023-07-07,108.0
119,2023-07-10,108.0
120,2023-07-11,106.0
121,2023-07-12,108.0
122,2023-07-13,109.0
123,2023-07-14,113.0
124,2023-07-17,118.0
125,2023-07-18,115.0
126,2023-07-20,114.0
127,2023-07-21,113.0
128,2023-07-24,111.0
129,2023-07-25,114.0
130,2023-07-26,113.0
